Gm20762	Gm20762
Gm50357	Gm50357
Gm18999	Gm18999
Gm4242	Gm4242
XM_036161418.1	Csf2ra
NM_009970.2	Csf2ra
XM_011247132.4	Csf2ra
XM_011247130.4	Csf2ra
XM_011247131.4	Csf2ra
XM_017318052.3	Csf2ra
XM_036161419.1	Csf2ra
XM_036161420.1	Csf2ra
XR_003952743.2	Csf2ra
XR_003952744.2	Csf2ra
XR_004940112.1	Csf2ra
XR_003952745.2	Csf2ra
XR_003952748.2	Csf2ra
XR_877658.4	Csf2ra
NM_001177513.1	Gm7102
Gm5521	Gm5521
XR_004940281.1	Gm22365
Gm6020	Gm6020
Gm4238	Gm4238
NM_001001737.2	Zfp950
NM_001309216.1	Zfp950
XM_017318246.3	Zfp950
NM_001309195.1	Zfp950
XM_036161621.1	Zfp950
XM_036161622.1	Zfp950
NR_131956.1	Zfp950
NR_131954.1	Zfp950
NR_131955.1	Zfp950
NR_131953.1	Zfp950
XR_004940310.1	Gm22520
Gm9529	Gm9529
XM_017318066.3	Grk5
XM_011247149.4	Grk5
XM_036161439.1	Grk5
NM_018869.3	Grk5
XM_006526697.5	Grk5
NM_007452.2	Prdx3
NM_001362384.1	Sfxn4
NM_053198.4	Sfxn4
NM_001362385.1	Sfxn4
XM_030251146.2	Sfxn4
XM_036161735.1	Sfxn4
XR_003952830.2	Sfxn4
XR_003952831.2	Sfxn4
XR_004940190.1	Sfxn4
XR_001782624.3	Sfxn4
LOC118568411	LOC118568411
NM_001347464.1	Dennd10
NM_001167829.2	Dennd10
NM_026437.4	Dennd10
NM_001360619.1	Dennd10
NM_001360620.1	Dennd10
NR_034047.1	Snora19
NR_105743.1	Mir3084-2
NM_010123.3	Eif3a
NM_178421.3	Nanos1
XR_386854.3	Gm34406
XR_386855.3	Gm34459
XR_001782669.2	Gm46652
XR_003952898.1	Gm46652
XR_877980.1	Gm41884
XM_006527468.5	Cacul1
NM_030197.2	Cacul1
NM_001172096.1	Cacul1
NM_001172097.1	Cacul1
NM_201615.2	Prlhr
XM_006527057.4	Prlhr
XR_877978.1	Gm34300
XR_386851.2	Gm34300
XR_386853.2	Gm34300
XR_386852.2	Gm34300
XR_877977.1	Gm41882
XM_030251127.2	Fam204a
XM_036161723.1	Fam204a
XM_006527443.5	Fam204a
XM_006527445.4	Fam204a
XM_017318307.3	Fam204a
XM_006527447.4	Fam204a
XM_006527450.4	Fam204a
XM_006527444.4	Fam204a
NM_029648.7	Fam204a
NM_001358272.1	Fam204a
NM_001358271.1	Fam204a
NM_001358273.1	Fam204a
NR_152390.1	Fam204a
NR_152391.1	Fam204a
NR_026942.1	E330013P04Rik
XR_877975.2	Gm41881
XR_001782712.2	Gm46663
XR_004940228.1	Gm46663
Csf1r-ps	Csf1r-ps
XR_877974.1	Gm41880
XR_877973.2	Gm41879
XM_036161718.1	Rab11fip2
NM_001033172.3	Rab11fip2
NM_001164367.1	Rab11fip2
XM_011247386.4	Rab11fip2
XR_001782703.2	Gm46660
XR_004940227.1	Gm46662
XR_001782711.2	Gm46662
XR_001782710.3	Gm46661
XR_001782709.3	Gm41878
XR_004940226.1	Gm41878
XR_001782708.1	Gm19956
XR_386850.3	Gm19956
XR_001782707.2	Gm19956
Gm18161	Gm18161
NR_045308.1	2700089I24Rik
XM_006526657.5	Emx2
NM_010132.2	Emx2
NR_002863.2	Emx2os
XR_004940225.1	Gm33756
XR_386849.4	Gm33756
LOC118568410	LOC118568410
Rps12-ps3	Rps12-ps3
NM_001033222.3	Pdzd8
NM_172523.3	Slc18a2
NM_207261.3	Kcnk18
NR_167767.1	4930442E04Rik
XM_006526916.2	Vax1
NM_009501.3	Vax1
Gm9276	Gm9276
XR_004940315.1	LOC115489094
NM_001114312.1	Shtn1
NM_175172.4	Shtn1
XR_386512.4	Shtn1
XM_030250922.1	Eno4
NM_178689.4	Eno4
XM_006527056.4	Eno4
XM_006527055.4	Eno4
XM_006527054.4	Eno4
NR_037247.1	Mir3086
XR_003952907.1	Gm52393
XM_036161703.1	Hspa12a
XM_036161704.1	Hspa12a
XM_036161702.1	Hspa12a
NM_175199.3	Hspa12a
XM_006527379.5	Hspa12a
XM_006527377.3	Hspa12a
XM_011247368.4	Hspa12a
NM_001327998.1	Hspa12a
XR_877967.3	Gm41877
NM_026208.2	1700019N19Rik
NM_001368688.1	1700019N19Rik
NM_001368689.1	1700019N19Rik
XR_003952908.1	Gm52394
NM_011128.2	Pnliprp2
NM_018874.2	Pnliprp1
NR_038140.1	1810018F18Rik
XR_386843.1	1810035K13Rik
NM_026925.4	Pnlip
NR_038136.1	1810007D17Rik
XM_006527423.1	Ccdc172
XM_017318304.1	Ccdc172
XM_006527422.2	Ccdc172
NM_001374039.1	Ccdc172
NM_001373969.2	Ccdc172
NM_029372.3	Ccdc172
NM_001373968.2	Ccdc172
XR_004940180.1	Ccdc172
XR_386842.3	Gm33306
XR_877966.1	Gm41876
NR_040449.1	Gm10007
XM_017318325.3	Gm46650
XM_006526683.5	Gfra1
XM_006526684.1	Gfra1
XM_006526682.1	Gfra1
XM_006526681.2	Gfra1
XM_030250753.2	Gfra1
NM_010279.3	Gfra1
NM_001285457.2	Gfra1
NR_104342.1	Gfra1
XR_003952870.2	Gm50287
NR_049196.1	Mir5623
XR_003952871.2	Gm32980
XR_001782644.3	Gm32980
XR_003952872.2	Gm32980
XR_004940222.1	Gm52385
XR_004940224.1	Gm52385
XR_003952873.2	Gm52385
XR_004940221.1	Gm52385
XR_004940220.1	Gm52385
XR_004940223.1	Gm52385
NM_181415.4	Atrnl1
XM_006527052.4	Atrnl1
XM_006527051.4	Atrnl1
XM_036161584.1	Atrnl1
XM_036161583.1	Atrnl1
XM_006527049.4	Atrnl1
XM_011247244.2	Atrnl1
XM_030250921.2	Atrnl1
XR_001782587.2	Atrnl1
XR_877962.2	Gm32932
NR_040307.1	6720468P15Rik
NR_040306.1	6720468P15Rik
NM_029839.3	Trub1
NM_028115.3	Trub1
XM_006527356.4	Trub1
XM_006527357.5	Trub1
XR_386517.5	Trub1
XR_004940175.1	Trub1
XR_877961.3	Gm41874
XR_004940219.1	LOC118568397
NM_145505.4	Fam160b1
XM_030250920.2	Fam160b1
XR_001782586.2	Fam160b1
XR_003952853.1	Gm50270
NR_040316.1	B230217O12Rik
NR_045319.1	4930449E18Rik
XM_017318186.3	Ablim1
XM_017318184.3	Ablim1
XM_030250919.2	Ablim1
XM_030250918.2	Ablim1
XM_006527048.5	Ablim1
XM_017318182.3	Ablim1
XM_017318183.2	Ablim1
XM_017318173.3	Ablim1
XM_017318174.3	Ablim1
XM_030250912.1	Ablim1
XM_030250915.1	Ablim1
XM_017318181.3	Ablim1
XM_017318178.3	Ablim1
XM_006527041.5	Ablim1
XM_017318179.3	Ablim1
XM_006527044.5	Ablim1
XM_006527037.5	Ablim1
XM_030250914.2	Ablim1
XM_006527039.5	Ablim1
XM_006527038.5	Ablim1
XM_017318177.3	Ablim1
XM_006527040.5	Ablim1
XM_006527033.5	Ablim1
XM_006527035.5	Ablim1
XM_006527034.5	Ablim1
XM_006527036.5	Ablim1
XM_017318172.3	Ablim1
XM_006527028.5	Ablim1
XM_017318175.3	Ablim1
XM_030250913.1	Ablim1
XM_030250916.1	Ablim1
XM_030250917.1	Ablim1
NM_001103178.3	Ablim1
NM_001347459.1	Ablim1
NM_001103177.3	Ablim1
NM_001290815.2	Ablim1
NM_001290816.2	Ablim1
NM_178688.4	Ablim1
NM_001290813.2	Ablim1
NM_001362446.1	Ablim1
NM_001362445.1	Ablim1
XR_877960.3	Gm38597
XR_877959.3	Gm38597
XR_003952852.1	Gm38597
XM_036161578.1	Afap1l2
XM_036161579.1	Afap1l2
XM_006527024.3	Afap1l2
XM_036161576.1	Afap1l2
XM_036161575.1	Afap1l2
XM_036161577.1	Afap1l2
XM_036161573.1	Afap1l2
XM_036161572.1	Afap1l2
XM_036161574.1	Afap1l2
NM_001177796.1	Afap1l2
NM_146102.2	Afap1l2
NM_001177797.1	Afap1l2
XM_006527091.1	Vwa2
XM_006527090.1	Vwa2
NM_172840.2	Vwa2
XM_006527479.3	Tdrd1
NM_001002241.2	Tdrd1
XM_006527477.4	Tdrd1
XM_006527476.2	Tdrd1
NM_031387.3	Tdrd1
XM_006527474.1	Tdrd1
XM_006527475.4	Tdrd1
NM_001002240.2	Tdrd1
NM_001002238.2	Tdrd1
XM_006527478.1	Tdrd1
XM_006527473.1	Tdrd1
XM_006526852.2	Ccdc186
NM_170757.2	Ccdc186
Gm6990	Gm6990
XR_877950.3	Gm32718
XR_001782685.2	Gm32718
NM_007419.3	Adrb1
XR_386829.4	Gm32575
XR_386826.3	Gm32575
XR_386828.4	Gm32575
XR_386825.2	Gm32492
XR_003952901.1	Gm52389
NR_166869.1	Gm32441
XM_006527267.5	Nhlrc2
NM_025811.3	Nhlrc2
XR_001782612.2	Nhlrc2
XR_004940167.1	Nhlrc2
XM_006527217.3	Dclre1a
NM_001360437.1	Dclre1a
NM_001360438.1	Dclre1a
NM_001360439.1	Dclre1a
NM_018831.4	Dclre1a
NR_153440.1	Dclre1a
NR_153439.1	Dclre1a
XR_877682.3	Dclre1a
LOC115486127	LOC115486127
XM_006527022.5	Plekhs1
NM_001164263.1	Plekhs1
NM_172641.3	Plekhs1
XM_006527018.3	Plekhs1
XR_001782684.3	Gm46657
NM_007611.2	Casp7
XM_006526616.5	Casp7
XR_003952899.2	Gm17197
XR_877946.4	Gm17197
NM_008733.4	Nrap
NM_198059.3	Nrap
NM_001286552.1	Nrap
XM_006526747.5	Nrap
XM_036161457.1	Nrap
XM_006526745.5	Nrap
XM_006526748.5	Nrap
XM_006526746.5	Nrap
XM_017318167.1	Habp2
NM_001329936.1	Habp2
NM_146101.2	Habp2
NM_001329935.1	Habp2
XM_030250907.1	Habp2
XM_006527014.3	Habp2
XR_004940270.1	Gm22271
XR_386819.4	Gm32257
XR_877948.3	Gm32257
XR_877947.3	Gm32257
XR_877944.1	Gm32144
XR_386817.2	Gm32144
XR_386815.2	Gm32028
XR_386816.2	Gm32028
XR_877942.1	Gm32028
XR_386814.2	Gm32028
XR_386813.3	Gm31965
XR_386812.4	Gm31912
XR_004940218.1	Gm31912
XR_003952892.2	Gm52387
XR_386811.4	Gm4470
XR_003952905.1	Gm52391
NM_001142924.2	Tcf7l2
XM_030250853.2	Tcf7l2
XM_030250851.2	Tcf7l2
XM_030250855.2	Tcf7l2
XM_006526894.5	Tcf7l2
XM_017318135.3	Tcf7l2
XM_030250854.1	Tcf7l2
XM_006526897.4	Tcf7l2
XM_030250859.1	Tcf7l2
XM_006526895.4	Tcf7l2
XM_030250860.1	Tcf7l2
XM_017318132.2	Tcf7l2
NM_001331141.1	Tcf7l2
NM_001331145.1	Tcf7l2
NM_001331144.1	Tcf7l2
NM_001331143.1	Tcf7l2
NM_001331140.1	Tcf7l2
NM_001331142.1	Tcf7l2
NM_001142923.2	Tcf7l2
NM_001331139.1	Tcf7l2
NM_001142919.2	Tcf7l2
NM_009333.4	Tcf7l2
NM_001142922.2	Tcf7l2
NM_001142918.2	Tcf7l2
NM_001331137.1	Tcf7l2
NM_001142921.2	Tcf7l2
NM_001331136.1	Tcf7l2
NM_001331135.1	Tcf7l2
NM_001331138.1	Tcf7l2
NM_001142920.2	Tcf7l2
NM_001331147.1	Tcf7l2
NM_001331150.1	Tcf7l2
NM_001331149.1	Tcf7l2
NM_001331146.1	Tcf7l2
NM_001331148.1	Tcf7l2
XM_036161507.1	Tcf7l2
XM_017318112.3	Tcf7l2
XM_036161508.1	Tcf7l2
XM_030250847.2	Tcf7l2
XM_017318131.3	Tcf7l2
XM_006526888.5	Tcf7l2
XM_006526866.5	Tcf7l2
XM_036161506.1	Tcf7l2
XM_017318126.3	Tcf7l2
XM_017318119.3	Tcf7l2
XM_017318115.3	Tcf7l2
XM_006526861.5	Tcf7l2
XM_017318114.3	Tcf7l2
XM_017318110.3	Tcf7l2
XM_017318117.3	Tcf7l2
XM_006526860.5	Tcf7l2
XM_017318116.3	Tcf7l2
XM_017318127.3	Tcf7l2
NR_138565.1	Tcf7l2
NR_168129.1	Gm31734
NR_168127.1	Gm31734
NR_168128.1	Gm31734
XR_877940.3	Gm41871
NR_045318.1	4930552P12Rik
XM_006527196.5	Vti1a
XM_006527198.5	Vti1a
XM_036161634.1	Vti1a
XM_006527185.5	Vti1a
XM_006527184.5	Vti1a
XM_036161631.1	Vti1a
XM_036161630.1	Vti1a
XM_036161633.1	Vti1a
XM_006527188.4	Vti1a
XM_006527191.4	Vti1a
XM_006527192.5	Vti1a
XM_030250990.2	Vti1a
XM_017318251.3	Vti1a
XM_036161636.1	Vti1a
XM_036161635.1	Vti1a
NM_001360432.1	Vti1a
NM_016862.4	Vti1a
NM_001293686.1	Vti1a
NM_001293685.1	Vti1a
NM_001360431.1	Vti1a
XM_030251032.1	Zdhhc6
XM_006527268.4	Zdhhc6
XM_011247316.3	Zdhhc6
NM_001033573.2	Zdhhc6
NM_025883.4	Zdhhc6
NM_001360595.1	Zdhhc6
XR_877934.3	Gm31595
XR_003952866.1	Gm31595
XR_003952868.2	Gm31595
XR_003952867.1	Gm31595
XR_003952869.1	Gm31595
XR_003952865.1	Gm31595
NM_027976.2	Acsl5
XM_006527178.4	Acsl5
XM_030251101.2	Gucy2g
XM_030251100.2	Gucy2g
XM_030251102.2	Gucy2g
NM_001371012.1	Gucy2g
NM_001081076.3	Gucy2g
NR_106146.1	Mir6715
XM_006526902.2	Tectb
XM_006526903.2	Tectb
NM_009348.4	Tectb
XR_877930.3	Gm31418
XR_877929.4	Gm31418
XR_386805.5	Gm31418
XR_386803.5	Gm31418
XR_003952927.2	Gm31356
XR_004940215.1	Gm31356
XR_001782665.3	Gm31356
XR_001782666.3	Gm31356
NM_008149.4	Gpam
NM_001356285.1	Gpam
XM_036161438.1	Gpam
XM_036161436.1	Gpam
XM_036161437.1	Gpam
XM_006526692.5	Gpam
XM_006526694.2	Gpam
XR_004940119.1	Gpam
XR_877928.2	Gm41867
XR_386801.2	Gm31301
Gm52412	Gm52412
XR_877926.2	Gm41866
XR_877925.1	Gm41865
NM_007417.5	Adra2a
XM_036161642.1	Shoc2
NM_019658.6	Shoc2
NM_001355242.1	Shoc2
XM_030251001.1	Shoc2
XM_011247299.3	Shoc2
NM_001168505.1	Shoc2
XM_006527228.5	Shoc2
XM_030250674.1	Bbip1
XM_036161364.1	Bbip1
XM_006526550.3	Bbip1
XM_006526547.3	Bbip1
NM_001195338.1	Bbip1
NM_001195348.1	Bbip1
XM_036161460.1	Pdcd4
XM_030250769.1	Pdcd4
XM_036161461.1	Pdcd4
XM_006526762.5	Pdcd4
XM_036161459.1	Pdcd4
NM_001168492.1	Pdcd4
NM_001168491.1	Pdcd4
XM_030250768.2	Pdcd4
NM_011050.4	Pdcd4
XM_036161742.1	Gm30990
XR_877919.4	Gm16299
XR_004940233.1	Gm16299
XR_004940234.1	Gm16299
XR_877920.2	Gm30890
XR_386793.3	Gm30943
XR_001782674.3	Gm46653
XM_036161706.1	Rbm20
XM_006527385.5	Rbm20
XM_011247372.3	Rbm20
NM_001170847.1	Rbm20
XM_036161707.1	Rbm20
XM_011247371.2	Rbm20
NM_007790.3	Smc3
Nutf2-ps1	Nutf2-ps1
XR_004940232.1	LOC118568399
NM_001085390.2	Dusp5
XR_386791.2	Gm30826
NR_167900.1	4833407H14Rik
NR_028427.1	Mirt1
XM_006527440.5	Smndc1
XM_006527442.5	Smndc1
NM_001356986.1	Smndc1
NM_172429.3	Smndc1
NM_001008543.3	Mxi1
XM_030250764.2	Mxi1
XM_030250765.1	Mxi1
NM_001360347.1	Mxi1
NM_001360346.1	Mxi1
XM_030250763.1	Mxi1
NM_010847.4	Mxi1
NM_001360345.1	Mxi1
XM_006526739.2	Mxi1
NM_001360348.1	Mxi1
NM_001008542.3	Mxi1
XM_006526735.5	Mxi1
XR_877915.4	Gm30541
XR_003952893.2	Gm30541
XR_004940230.1	Gm30541
XR_003952894.2	Gm30541
XR_003952895.2	Gm30541
XR_004940231.1	Gm30541
Gm36339	Gm36339
NR_036590.1	1700001K23Rik
XR_003952924.1	Gm52402
XM_030250959.2	Add3
XM_030250960.2	Add3
XM_030250963.2	Add3
XM_030250965.2	Add3
NM_013758.5	Add3
XM_030250962.2	Add3
NM_001164100.2	Add3
NM_001277100.1	Add3
XM_036161610.1	Add3
XM_030250961.2	Add3
NM_001164101.2	Add3
NM_001164099.2	Add3
XR_001782729.2	Gm9618
XR_386781.3	Gm9618
XR_386783.3	Gm9618
NR_166769.1	Gm30381
XR_877903.1	Gm41862
NR_045320.1	1700054A03Rik
XR_386779.2	Gm30234
XR_877909.1	Gm30234
XR_877906.2	Gm30234
XR_001782702.1	Gm30234
XR_001782701.1	Gm30234
XR_877907.2	Gm30234
XR_877904.1	Gm30234
XR_877910.2	Gm30234
XR_877911.2	Gm30234
XR_004940229.1	LOC118568398
NR_105834.1	Mir6407
